"game_title";"release_date";"price";"total_reviews";"genre";"developper";"publisher";"link-href";"description"
"DG2: Defense Grid 2";"23 sept. 2014";"17.49";"2516";"Indépendant, Stratégie";"Hidden Path Entertainment";"Hidden Path Entertainment";"https://store.steampowered.com/app/221540/DG2_Defense_Grid_2/?snr=1_7_7_230_150_280";"Defense Grid 2 est la nouvelle évolution du tower defense. Les joueurs y découvriront des nouveautés qui nécessiteront une modification complète de leur stratégie de défense. Chaque niveau peut être résolu de 1 million de façons différentes. Votre solution est vraiment la vôtre."
"Hatoful Boyfriend";"4 sept. 2014";"10.99";"5474";"Occasionnel, Indépendant, Simulation";"Mediatonic";"Epic Games";"https://store.steampowered.com/app/310080/Hatoful_Boyfriend/?snr=1_7_7_230_150_280";"Congratulations! You’ve been accepted as the only human student at the prestigious St. PigeoNation’s Institute, a school for talented birds! Roam the halls and find love in between classes as a sophomore student at the world’s greatest pigeon high school."
"Hatoful Boyfriend";"4 sept. 2014";"10.99";"5474";"Occasionnel, Indépendant, Simulation";"Hato Moa";"Epic Games";"https://store.steampowered.com/app/310080/Hatoful_Boyfriend/?snr=1_7_7_230_150_280";"Congratulations! You’ve been accepted as the only human student at the prestigious St. PigeoNation’s Institute, a school for talented birds! Roam the halls and find love in between classes as a sophomore student at the world’s greatest pigeon high school."
"Hand of Fate";"17 févr. 2015";"19.99";"7942";"Action, Indépendant, RPG";"Defiant Development";"Defiant Development";"https://store.steampowered.com/app/266510/Hand_of_Fate/?snr=1_7_7_230_150_280";"La construction de deck prend vie dans Hand of Fate ! Une série de quêtes à rejouer à l'infini : gagnez de nouvelles cartes, construisez votre deck et essayez de gagner ! Piochez vos cartes, jouez votre main, et découvrez votre destin."
"Farming Simulator 2013 Titanium Edition";"9 oct. 2013";"17.49";"3861";"Occasionnel, Simulation";"Giants Software";"Giants Software";"https://store.steampowered.com/app/220260/Farming_Simulator_2013_Titanium_Edition/?snr=1_7_7_230_150_280";"Animal husbandry, crops, sales… It's up to you to manage and grow your own farm in a huge, totally new world!"
"Reassembly";"19 févr. 2015";"17.49";"3530";"Action, Indépendant, Stratégie";"Anisoptera Games";"Indie Voyage";"https://store.steampowered.com/app/329130/Reassembly/?snr=1_7_7_230_150_279";"Un jeu de construction de vaisseau spatial et d'exploration de l'univers. Collectez des ressources, développez et faites agrandir votre flotte, et partez à la conquête de votre galaxie personnelle. Une ambiance stellaire par Peaks."
"Patron";"10 aout 2021";"22.79";"2775";"Simulation, Stratégie";"Overseer Games";"Overseer Games";"https://store.steampowered.com/app/1538570/Patron/?snr=1_7_7_230_150_279";"Patron est un jeu de survie et de construction de ville doté d'un système unique de dynamique sociale. Rassemblez et produisez des ressources, transformez votre village émergent en une ville prospère et gérez les tensions sociales avant que ces dernières ne dégénèrent."
"Saiko no sutoka";"6 sept. 2020";"6.49";"3307";"Action, Aventure, Occasionnel, Simulation";"Habupain";"Habupain";"https://store.steampowered.com/app/1546860/Saiko_no_sutoka/?snr=1_7_7_230_150_278";"Saiko No Sutoka est un jeu de survie d’horreur où vous en tant que protagoniste, vous devez s’échapper et éviter la fille Yandere fou qui veut votre mort."
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"IDEA FACTORY";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"COMPILE HEART";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Azur Lane Crosswave";"13 févr. 2020";"45.49";"6518";"Action, Aventure, RPG";"FELISTELLA";"Idea Factory International";"https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/?snr=1_7_7_230_150_278";"In the middle of each nation's normal training routine, a Joint Military Exercise was enacted. A select few from each nation were chosen to participate in this rigorous event. But, how did this event come to be? Are there other ulterior motives at play?"
"Home Behind 2";"16 févr. 2022";"22.79";"6426";"Aventure, Indépendant, RPG, Simulation, Stratégie";"TPP Studio";"Spiral Up Games";"https://store.steampowered.com/app/1220010/Home_Behind_2/?snr=1_7_7_230_150_278";"Home Behind 2 is a Roguelike RPG which set in Scaria, a country engulfed in a ten-year civil war. Lead a patchwork group of revolutionary fighters into the depths of the government's territory as you struggle to overthrow a brutal authoritarian regime!"
"Ricochet";"1 nov. 2000";"6.49";"4389";"Action";"Valve";"Valve";"https://store.steampowered.com/app/60/Ricochet/?snr=1_7_7_230_150_277";"Jeu d'action futuriste faisant appel à votre agilité et votre détermination, Ricochet se compose d'un mode duel ou équipe et offre toute une variété d'arènes de combat futuristes."
